Designator,Mid X,Mid Y,Layer,Rotation
C10,104.14,69.85,Top,0
C11,88.9,69.85,Top,0
C12,119.38,67.31,Top,0
C13,104.14,67.31,Top,0
C14,88.9,67.31,Top,0
C16,180.34,69.85,Top,0
C17,165.1,69.85,Top,0
C18,149.86,69.85,Top,0
C19,180.34,67.31,Top,0
C2,58.42,69.85,Top,0
C20,165.1,67.31,Top,0
C21,149.86,67.31,Top,0
C3,43.18,69.85,Top,0
C4,27.94,69.85,Top,0
C5,58.42,67.31,Top,0
C6,43.18,67.31,Top,0
C7,27.94,67.31,Top,0
C9,119.38,69.85,Top,0
D1,16.51,17.78,Top,0
D2,52.07,11.43,Top,0
D3,77.47,17.78,Top,0
D4,113.03,11.43,Top,0
D5,138.43,17.78,Top,0
D6,173.99,11.43,Top,0
L1,54.61,58.42,Top,90
L2,39.37,58.42,Top,90
L3,24.13,58.42,Top,90
L4,115.57,58.42,Top,90
L5,100.33,58.42,Top,90
L6,85.09,58.42,Top,90
L7,176.53,58.42,Top,90
L8,161.29,58.42,Top,90
L9,146.05,58.42,Top,90
R1,60.96,68.58,Top,270
R2,45.72,68.58,Top,270
R3,30.48,68.58,Top,270
R4,121.92,68.58,Top,270
R5,106.68,68.58,Top,270
R6,91.44,68.58,Top,270
R7,182.88,68.58,Top,270
R8,167.64,68.58,Top,270
R9,152.4,68.58,Top,270
U1,17.78,86.36,Top,270
U2,78.74,86.36,Top,270
U3,139.7,86.36,Top,270
